date,Tianjin
20150617,117
20150618,57
20150619,52
20150620,46
20150621,70
20150622,102
20150623,120
20150624,91
20150625,89
20150626,71
20150627,61
20150628,75
20150629,68
20150630,25
20150701,55
20150702,26
20150703,48
20150704,41
20150705,50
20150706,62
20150707,57
20150708,63
20150709,61
20150710,60
20150711,111
20150712,104
20150713,97
20150714,95
20150715,109
20150716,74
20150717,53
20150718,62
20150719,75
20150720,59
20150721,80
20150722,56
20150723,69
20150724,72
20150725,64
20150726,88
20150727,101
20150728,82
20150729,146
20150730,52
20150731,50
20150801,61
20150802,77
20150803,60
20150804,48
20150805,74
20150806,79
20150807,72
20150808,71
20150809,106
20150810,125
20150811,104
20150812,93
20150813,86
20150814,71
20150815,82
20150816,92
20150817,91
20150818,87
20150819,75
20150820,88
20150821,61
20150822,78
20150823,67
20150824,55
20150825,46
20150826,49
20150827,45
20150828,51
20150829,48
20150830,46
20150831,41
20150901,23
20150902,33
20150903,52
20150904,51
20150905,22
20150906,35
20150907,57
20150908,66
20150909,74
20150910,39
20150911,23
20150912,24
20150913,60
20150914,75
20150915,95
20150916,88
20150917,76
20150918,91
20150919,76
20150920,57
20150921,64
20150922,95
20150923,86
20150924,112
20150925,47
20150926,70
20150927,82
20150928,50
20150929,47
20150930,50
20151001,39
20151002,70
20151003,64
20151004,81
20151005,170
20151006,100
20151007,91
20151008,48
20151009,62
20151010,34
20151011,44
20151012,57
20151013,76
20151014,115
20151015,93
20151016,111
20151017,141
20151018,100
20151019,61
20151020,77
20151021,60
20151022,36
20151023,50
20151024,66
20151025,60
20151026,51
20151027,67
20151028,51
20151029,44
20151030,50
20151031,95
20151101,139
20151102,124
20151103,102
20151104,111
20151105,113
20151106,29
20151107,24
20151108,64
20151109,82
20151110,91
20151111,94
20151112,116
20151113,109
20151114,120
20151115,113
20151116,53
20151117,78
20151118,51
20151119,62
20151120,38
20151121,39
20151122,38
20151123,30
20151124,49
20151125,64
20151126,49
20151127,94
20151128,129
20151129,211
20151130,335
20151201,204
20151202,153
20151203,32
20151204,55
20151205,76
20151206,71
20151207,85
20151208,155
20151209,239
20151210,208
20151211,55
20151212,81
20151213,96
20151214,143
20151215,60
20151216,30
20151217,52
20151218,96
20151219,65
20151220,117
20151221,370
20151222,327
20151223,267
20151224,214
20151225,180
20151226,152
20151227,49
20151228,102
20151229,166
20151230,135
20151231,110
20160101,-
20160102,-
20160103,-
20160104,83
20160105,53
20160106,63
20160107,51
20160108,47
20160109,173
20160110,171
20160111,41
20160112,48
20160113,90
20160114,116
20160115,169
20160116,94
20160117,58
20160118,76
20160119,63
20160120,77
20160121,78
20160122,74
20160123,70
20160124,62
20160125,73
20160126,72
20160127,102
20160128,102
20160129,56
20160130,54
20160131,45
20160201,57
20160202,37
20160203,104
20160204,36
20160205,50
20160206,45
20160207,118
20160208,216
20160209,70
20160210,85
20160211,84
20160212,122
20160213,25
20160214,27
20160215,50
20160216,70
20160217,49
20160218,60
20160219,61
20160220,34
20160221,78
20160222,127
20160223,35
20160224,55
20160225,60
20160226,56
20160227,78
20160228,66
20160229,40
20160301,100
20160302,153
20160303,184
20160304,150
20160305,309
20160306,304
20160307,128
20160308,55
20160309,44
20160310,62
20160311,71
20160312,105
20160313,96
20160314,107
20160315,126
20160316,140
20160317,115
20160318,154
20160319,88
20160320,72
20160321,89
20160322,137
20160323,63
20160324,55
20160325,71
20160326,58
20160327,70
20160328,100
20160329,95
20160330,119
20160331,173
20160401,141
20160402,57
20160403,81
20160404,100
20160405,128
20160406,120
20160407,121
20160408,84
20160409,255
20160410,131
20160411,82
20160412,110
20160413,212
20160414,85
20160415,102
20160416,73
20160417,45
20160418,45
20160419,78
20160420,93
20160421,100
20160422,112
20160423,73
20160424,98
20160425,81
20160426,87
20160427,80
20160428,84
20160429,93
20160430,83
20160501,96
20160502,78
20160503,58
20160504,66
20160505,72
20160506,236
20160507,193
20160508,75
20160509,72
20160510,74
20160511,101
20160512,55
20160513,65
20160514,63
20160515,47
20160516,64
20160517,84
20160518,82
20160519,83
20160520,78
20160521,77
20160522,78
20160523,84
20160524,56
20160525,43
20160526,70
20160527,98
20160528,71
20160529,87
20160530,101
20160531,94
20160601,49
20160602,48
20160603,64
20160604,77
20160605,58
20160606,46
20160607,74
20160608,80
20160609,96
20160610,94
20160611,27
20160612,54
20160613,54
20160614,57
20160615,30
20160616,64
20160617,87
20160618,37
20160619,74
20160620,58
20160621,70
20160622,55
20160623,68
20160624,30
20160625,32
20160626,54
20160627,55
20160628,47
20160629,67
20160630,73
20160701,53
20160702,47
20160703,59
20160704,-
20160705,-
20160706,-
20160707,-
20160708,-
20160709,-
20160710,-
20160711,-
20160712,-
20160713,-
20160714,-
20160715,-
20160716,-
20160717,-
20160718,-
20160719,-
20160720,-
20160721,-
20160722,-
20160723,-
20160724,-
20160725,-
20160726,-
20160727,-
20160728,-
20160729,-
20160730,-
20160731,-
20160801,-
20160802,-
20160803,-
20160804,-
20160805,-
20160806,-
20160807,-
20160808,-
20160809,-
20160810,-
20160811,-
20160812,-
20160813,-
20160814,-
20160815,-
20160816,-
20160817,-
20160818,-
20160819,-
20160820,-
20160821,-
20160822,-
20160823,-
20160824,-
20160825,-
20160826,-
20160827,-
20160828,-
20160829,52
20160830,49
20160831,48
20160901,30
20160902,42
20160903,48
20160904,43
20160905,41
20160906,52
20160907,30
20160908,27
20160909,54
20160910,86
20160911,37
20160912,45
20160913,63
20160914,81
20160915,93
20160916,100
20160917,38
20160918,34
20160919,27
20160920,41
20160921,51
20160922,79
20160923,93
20160924,98
20160925,93
20160926,86
20160927,42
20160928,37
20160929,62
20160930,71
20161001,96
20161002,100
20161003,93
20161004,51
20161005,47
20161006,39
20161007,41
20161008,24
20161009,54
20161010,80
20161011,76
20161012,41
20161013,128
20161014,54
20161015,92
20161016,59
20161017,73
20161018,80
20161019,106
20161020,28
20161021,50
20161022,34
20161023,49
20161024,80
20161025,91
20161026,72
20161027,62
20161028,22
20161029,48
20161030,72
20161031,29
20161101,71
20161102,91
20161103,129
20161104,141
20161105,111
20161106,54
20161107,52
20161108,50
20161109,91
20161110,106
20161111,135
20161112,83
20161113,113
20161114,88
20161115,64
20161116,131
20161117,83
20161118,148
20161119,118
20161120,48
20161121,16
20161122,26
20161123,58
20161124,118
20161125,118
20161126,181
20161127,44
20161128,81
20161129,129
20161130,238
20161201,38
20161202,103
20161203,170
20161204,240
20161205,51
20161206,95
20161207,121
20161208,94
20161209,32
20161210,87
20161211,131
20161212,183
20161213,67
20161214,46
20161215,64
20161216,95
20161217,125
20161218,192
20161219,248
20161220,184
20161221,182
20161222,209
20161223,36
20161224,66
20161225,105
20161226,85
20161227,65
20161228,61
20161229,48
20161230,130
20161231,187
20170101,-
20170102,224
20170103,203
20170104,203
20170105,111
20170106,92
20170107,136
20170108,121
20170109,52
20170110,67
20170111,104
20170112,125
20170113,28
20170114,36
20170115,29
20170116,65
20170117,95
20170118,88
20170119,71
20170120,30
20170121,53
20170122,36
20170123,59
20170124,72
20170125,138
20170126,173
20170127,61
20170128,177
20170129,84
20170130,22
20170131,65
20170201,47
20170202,73
20170203,116
20170204,134
20170205,48
20170206,32
20170207,47
20170208,70
20170209,35
20170210,35
20170211,90
20170212,143
20170213,190
20170214,91
20170215,217
20170216,233
20170217,56
20170218,96
20170219,120
20170220,41
20170221,68
20170222,124
20170223,39
20170224,72
20170225,51
20170226,75
20170227,100
20170228,85
20170301,67
20170302,65
20170303,101
20170304,106
20170305,70
20170306,52
20170307,33
20170308,48
20170309,53
20170310,93
20170311,113
20170312,43
20170313,68
20170314,83
20170315,80
20170316,106
20170317,104
20170318,169
20170319,145
20170320,116
20170321,89
20170322,131
20170323,80
20170324,58
20170325,80
20170326,36
20170327,40
20170328,67
20170329,85
20170330,105
20170331,68
20170401,86
20170402,95
20170403,120
20170404,90
20170405,69
20170406,97
20170407,89
20170408,100
20170409,75
20170410,73
20170411,69
20170412,109
20170413,123
20170414,82
20170415,108
20170416,130
20170417,126
20170418,97
20170419,90
20170420,105
20170421,65
20170422,91
20170423,79
20170424,90
20170425,47
20170426,61
20170427,64
20170428,66
20170429,79
20170430,159
20170501,93
20170502,107
20170503,77
20170504,586
20170505,607
20170506,99
20170507,94
20170508,143
20170509,71
20170510,64
20170511,125
20170512,207
20170513,101
20170514,55
20170515,67
20170516,70
20170517,78
20170518,91
20170519,103
20170520,87
20170521,70
20170522,48
20170523,47
20170524,59
20170525,70
20170526,60
20170527,93
20170528,112
20170529,97
20170530,68
20170531,84
20170601,61
20170602,54
20170603,45
20170604,57
20170605,74
20170606,46
20170607,49
20170608,73
20170609,73
20170610,52
20170611,60
20170612,57
20170613,55
20170614,65
20170615,77
20170616,78
20170617,72
20170618,68
20170619,74
20170620,57
20170621,63
20170622,54
20170623,29
20170624,51
20170625,63
20170626,57
20170627,74
20170628,82
20170629,81
20170630,69
20170701,84
20170702,54
20170703,54
20170704,59
20170705,66
20170706,91
20170707,67
20170708,88
20170709,76
20170710,51
20170711,90
20170712,70
20170713,69
20170714,91
20170715,78
20170716,59
20170717,46
20170718,80
20170719,53
20170720,81
20170721,49
20170722,42
20170723,54
20170724,76
20170725,52
20170726,54
20170727,66
20170728,76
20170729,37
20170730,57
20170731,59
20170801,54
20170802,44
20170803,33
20170804,65
20170805,52
20170806,52
20170807,59
20170808,59
20170809,38
20170810,60
20170811,85
20170812,71
20170813,60
20170814,40
20170815,50
20170816,54
20170817,48
20170818,53
20170819,46
20170820,55
20170821,56
20170822,75
20170823,50
20170824,51
20170825,47
20170826,57
20170827,27
20170828,28
20170829,47
20170830,33
20170831,47
20170901,61
20170902,55
20170903,64
20170904,62
20170905,65
20170906,77
20170907,-
20170908,-
20170909,-
20170910,-
20170911,50
20170912,62
20170913,73
20170914,64
20170915,69
20170916,90
20170917,53
20170918,75
20170919,51
20170920,60
20170921,77
20170922,74
20170923,109
20170924,107
20170925,87
20170926,61
20170927,41
20170928,37
20170929,90
20170930,84
20171001,93
20171002,49
20171003,36
20171004,53
20171005,51
20171006,61
20171007,76
20171008,-
20171009,7
20171010,12
20171011,41
20171012,50
20171013,70
20171014,51
20171015,62
20171016,39
20171017,48
20171018,45
20171019,66
20171020,74
20171021,52
20171022,43
20171023,42
20171024,56
20171025,75
20171026,107
20171027,138
20171028,59
20171029,24
20171030,49
20171031,72
20171101,78
20171102,90
20171103,27
20171104,53
20171105,61
20171106,74
20171107,82
20171108,34
20171109,65
20171110,49
20171111,33
20171112,77
20171113,69
20171114,24
20171115,35
20171116,57
20171117,56
20171118,35
20171119,85
20171120,124
20171121,104
20171122,38
20171123,38
20171124,37
20171125,67
20171126,36
20171127,69
20171128,74
20171129,34
20171130,37
20171201,70
20171202,118
20171203,88
20171204,20
20171205,64
20171206,72
20171207,26
20171208,45
20171209,96
20171210,42
20171211,21
20171212,28
20171213,54
20171214,57
20171215,30
20171216,45
20171217,60
20171218,53
20171219,40
20171220,53
20171221,73
20171222,74
20171223,80
20171224,55
20171225,40
20171226,44
20171227,62
20171228,110
20171229,126
20171230,121
20171231,129
20180101,67
20180102,46
20180103,20
20180104,31
20180105,82
20180106,64
20180107,92
20180108,50
20180109,47
20180110,20
20180111,21
20180112,69
20180113,83
20180114,98
20180115,56
20180116,67
20180117,83
20180118,69
20180119,104
20180120,71
20180121,49
20180122,47
20180123,32
20180124,43
20180125,48
20180126,46
20180127,57
20180128,45
20180129,59
20180130,60
20180131,56
20180201,72
20180202,36
20180203,22
20180204,25
20180205,25
20180206,39
20180207,55
20180208,53
20180209,102
20180210,37
20180211,53
20180212,57
20180213,75
20180214,50
20180215,81
20180216,107
20180217,70
20180218,83
20180219,92
20180220,73
20180221,77
20180222,79
20180223,90
20180224,30
20180225,41
20180226,106
20180227,97
20180228,94
20180301,41
20180302,79
20180303,97
20180304,102
20180305,59
20180306,45
20180307,53
20180308,50
20180309,64
20180310,86
20180311,63
20180312,95
20180313,191
20180314,94
20180315,78
20180316,39
20180317,38
20180318,69
20180319,66
20180320,43
20180321,50
20180322,67
20180323,106
20180324,93
20180325,71
20180326,79
20180327,88
20180328,284
20180329,83
20180330,62
20180331,104
20180401,128
20180402,130
20180403,103
20180404,34
20180405,61
20180406,64
20180407,33
20180408,50
20180409,92
20180410,103
20180411,39
20180412,73
20180413,50
20180414,105
20180415,92
20180416,106
20180417,127
20180418,121
20180419,107
20180420,102
20180421,80
20180422,27
20180423,36
20180424,38
20180425,57
20180426,88
20180427,124
20180428,102
20180429,73
20180430,61
20180501,84
20180502,40
20180503,44
20180504,69
20180505,92
20180506,86
20180507,81
20180508,66
20180509,68
20180510,90
20180511,75
20180512,72
20180513,62
20180514,90
20180515,80
20180516,63
20180517,62
20180518,66
20180519,64
20180520,49
20180521,41
20180522,107
20180523,185
20180524,96
20180525,80
20180526,85
20180527,96
20180528,122
20180529,61
20180530,61
20180531,62
20180601,65
20180602,74
20180603,90
20180604,67
20180605,99
20180606,109
20180607,53
20180608,35
20180609,29
20180610,35
20180611,56
20180612,61
20180613,38
20180614,49
20180615,37
20180616,59
20180617,49
20180618,75
20180619,56
20180620,49
20180621,69
20180622,69
20180623,65
20180624,60
20180625,77
20180626,59
20180627,53
20180628,28
20180629,57
20180630,63
20180701,57
20180702,45
20180703,40
20180704,57
20180705,72
20180706,60
20180707,46
20180708,46
20180709,33
20180710,27
20180711,39
20180712,59
20180713,41
20180714,32
20180715,47
20180716,54
20180717,55
20180718,57
20180719,70
20180720,61
20180721,64
20180722,72
20180723,47
20180724,28
20180725,36
20180726,43
20180727,47
20180728,53
20180729,55
20180730,55
20180731,56
20180801,74
20180802,51
20180803,62
20180804,53
20180805,43
20180806,41
20180807,38
20180808,17
20180809,36
20180810,56
20180811,55
20180812,54
20180813,51
20180814,12
20180815,23
20180816,40
20180817,47
20180818,51
20180819,21
20180820,31
20180821,34
20180822,44
20180823,53
20180824,46
20180825,51
20180826,64
20180827,49
20180828,51
20180829,37
20180830,36
20180831,38
20180901,37
20180902,37
20180903,13
20180904,29
20180905,53
20180906,59
20180907,30
20180908,29
20180909,38
20180910,57
20180911,51
20180912,61
20180913,70
20180914,70
20180915,43
20180916,36
20180917,60
20180918,57
20180919,62
20180920,40
20180921,48
20180922,47
20180923,34
20180924,26
20180925,29
20180926,48
20180927,54
20180928,52
20180929,32
20180930,30
20181001,30
20181002,27
20181003,48
20181004,60
20181005,60
20181006,43
20181007,47
20181008,52
20181009,30
20181010,30
20181011,27
20181012,64
20181013,85
20181014,78
20181015,81
20181016,45
20181017,50
20181018,53
20181019,59
20181020,69
20181021,82
20181022,81
20181023,44
20181024,91
20181025,95
20181026,47
20181027,38
20181028,41
20181029,29
20181030,49
20181031,51
20181101,67
20181102,77
20181103,89
20181104,103
20181105,39
20181106,36
20181107,56
20181108,61
20181109,50
20181110,49
20181111,46
20181112,69
20181113,77
20181114,-
20181115,33
20181116,20
20181117,54
20181118,78
20181119,84
20181120,74
20181121,42
20181122,60
20181123,82
20181124,80
20181125,117
20181126,168
20181127,228
20181128,116
20181129,72
20181130,94
20181201,129
20181202,92
20181203,201
20181204,69
20181205,69
20181206,41
20181207,29
20181208,40
20181209,59
20181210,63
20181211,56
20181212,80
20181213,47
20181214,53
20181215,102
20181216,176
20181217,53
20181218,65
20181219,65
20181220,72
20181221,77
20181222,74
20181223,49
20181224,67
20181225,67
20181226,50
20181227,49
20181228,45
20181229,44
20181230,42
20181231,-
20190101,61
20190102,71
20190103,90
20190104,40
20190105,31
20190106,57
20190107,55
20190108,29
20190109,49
20190110,96
20190111,141
20190112,150
20190113,179
20190114,170
20190115,46
20190116,75
20190117,97
20190118,101
20190119,62
20190120,35
20190121,73
20190122,85
20190123,53
20190124,61
20190125,42
20190126,39
20190127,84
20190128,42
20190129,90
20190130,85
20190131,36
20190201,89
20190202,95
20190203,110
20190204,118
20190205,148
20190206,57
20190207,31
20190208,36
20190209,26
20190210,43
20190211,84
20190212,55
20190213,50
20190214,27
20190215,28
20190216,17
20190217,21
20190218,73
20190219,70
20190220,95
20190221,143
20190222,197
20190223,69
20190224,117
20190225,53
20190226,49
20190227,65
20190228,114
20190301,95
20190302,95
20190303,97
20190304,103
20190305,65
20190306,43
20190307,53
20190308,63
20190309,69
20190310,68
20190311,39
20190312,26
20190313,34
20190314,50
20190315,35
20190316,58
20190317,64
20190318,85
20190319,70
20190320,68
20190321,32
20190322,31
20190323,32
20190324,59
20190325,66
20190326,88
20190327,84
20190328,37
20190329,58
20190330,39
20190331,34
20190401,41
20190402,48
20190403,52
20190404,113
20190405,317
20190406,77
20190407,68
20190408,48
20190409,35
20190410,36
20190411,48
20190412,56
20190413,79
20190414,54
20190415,66
20190416,67
20190417,89
20190418,165
20190419,51
20190420,55
20190421,86
20190422,77
20190423,61
20190424,52
20190425,24
20190426,36
20190427,40
20190428,41
20190429,66
20190430,72
20190501,41
20190502,53
20190503,63
20190504,66
20190505,65
20190506,42
20190507,51
20190508,70
20190509,78
20190510,67
20190511,63
20190512,277
20190513,63
20190514,106
20190515,106
20190516,74
20190517,65
20190518,31
20190519,57
20190520,49
20190521,41
20190522,52
20190523,79
20190524,67
20190525,70
20190526,64
20190527,16
20190528,42
20190529,67
20190530,48
20190531,33
20190601,59
20190602,72
20190603,62
20190604,59
20190605,69
20190606,63
20190607,52
20190608,55
20190609,38
20190610,48
20190611,39
20190612,67
20190613,60
20190614,66
20190615,42
20190616,23
20190617,49
20190618,66
20190619,51
20190620,72
20190621,46
20190622,34
20190623,49
20190624,57
20190625,66
20190626,55
20190627,56
20190628,52
20190629,42
20190630,33
20190701,38
20190702,51
20190703,43
20190704,54
20190705,62
20190706,30
20190707,37
20190708,52
20190709,58
20190710,39
20190711,31
20190712,49
20190713,56
20190714,40
20190715,39
20190716,40
20190717,62
20190718,72
20190719,31
20190720,35
20190721,52
20190722,57
20190723,35
20190724,45
20190725,54
20190726,68
20190727,59
20190728,52
20190729,30
20190730,31
20190731,49
20190801,50
20190802,41
20190803,29
20190804,35
20190805,44
20190806,48
20190807,45
20190808,44
20190809,31
20190810,18
20190811,16
20190812,10
20190813,15
20190814,37
20190815,49
20190816,27
20190817,30
20190818,51
20190819,57
20190820,50
20190821,38
20190822,47
20190823,42
20190824,48
20190825,45
20190826,58
20190827,43
20190828,43
20190829,22
20190830,27
20190831,45
20190901,50
20190902,60
20190903,62
20190904,48
20190905,53
20190906,69
20190907,69
20190908,69
20190909,72
20190910,38
20190911,35
20190912,41
20190913,44
20190914,46
20190915,52
20190916,40
20190917,50
20190918,45
20190919,40
20190920,71
20190921,79
20190922,64
20190923,72
20190924,61
20190925,46
20190926,54
20190927,60
20190928,68
20190929,75
20190930,66
20191001,59
20191002,62
20191003,76
20191004,30
20191005,24
20191006,37
20191007,54
20191008,37
20191009,58
20191010,33
20191011,54
20191012,49
20191013,40
20191014,28
20191015,50
20191016,54
20191017,47
20191018,-
20191019,92
20191020,101
20191021,65
20191022,65
20191023,86
20191024,13
20191025,19
20191026,53
20191027,76
20191028,105
20191029,62
20191030,129
20191031,83
20191101,55
20191102,48
20191103,60
20191104,65
20191105,51
20191106,48
20191107,41
20191108,66
20191109,100
20191110,71
20191111,46
20191112,72
20191113,55
20191114,63
20191115,61
20191116,46
20191117,120
20191118,70
20191119,54
20191120,98
20191121,108
20191122,101
20191123,101
20191124,32
20191125,25
20191126,54
20191127,50
20191128,39
20191129,57
20191130,68
20191201,25
20191202,28
20191203,59
20191204,49
20191205,43
20191206,46
20191207,93
20191208,100
20191209,124
20191210,102
20191211,26
20191212,29
20191213,51
20191214,31
20191215,48
20191216,66
20191217,18
20191218,24
20191219,25
20191220,32
20191221,66
20191222,92
20191223,64
20191224,47
20191225,56
20191226,51
20191227,72
20191228,86
20191229,84
20191230,-
20191231,-
20200101,63
20200102,74
20200103,104
20200104,112
20200105,54
20200106,60
20200107,16
20200108,22
20200109,79
20200110,59
20200111,36
20200112,34
20200113,21
20200114,35
20200115,91
20200116,135
20200117,127
20200118,183
20200119,58
20200120,24
20200121,49
20200122,92
20200123,79
20200124,-
20200125,84
20200126,130
20200127,109
20200128,136
20200129,-
20200130,31
20200131,69
20200201,32
20200202,20
20200203,27
20200204,33
20200205,24
20200206,35
20200207,87
20200208,91
20200209,100
20200210,105
20200211,80
20200212,57
20200213,-
20200214,62
20200215,8
20200216,9
20200217,13
20200218,44
20200219,65
20200220,-
20200221,88
20200222,18
20200223,63
20200224,80
20200225,46
20200226,39
20200227,23
20200228,-
20200229,-
20200301,26
20200302,31
20200303,15
20200304,15
20200305,44
20200306,69
20200307,52
20200308,-
20200309,29
20200310,19
20200311,58
20200312,68
20200313,41
20200314,40
20200315,44
20200316,54
20200317,58
20200318,106
20200319,32
20200320,74
20200321,68
20200322,41
20200323,55
20200324,53
20200325,64
20200326,41
20200327,26
20200328,34
20200329,47
20200330,-
20200331,-
20200401,42
20200402,44
20200403,42
20200404,123
20200405,56
20200406,95
20200407,66
20200408,51
20200409,35
20200410,48
20200411,42
20200412,58
20200413,67
20200414,72
20200415,63
20200416,70
20200417,49
20200418,63
20200419,65
20200420,27
20200421,33
20200422,24
20200423,23
20200424,63
20200425,55
20200426,48
20200427,63
20200428,71
20200429,67
20200430,77
20200501,72
20200502,59
20200503,37
20200504,45
20200505,47
20200506,65
20200507,65
20200508,9
20200509,36
20200510,56
20200511,40
20200512,68
20200513,93
20200514,64
20200515,47
20200516,55
20200517,72
20200518,54
